tier,rank,puuid,queueType,region,sub_region,division
BRONZE,III,EccPIL1v62w-b6b0qY9bCkw-SSgK0BUVtuFEHmiWRoTkqN4YFBtlGN5VOf2M9y2NdvT90LUo8gAakA,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,E_ze7oU7oSz-ArXa7XznnNME7LYKLPnv8lleL2hC5LfcLrcug1aEHeHhRrg2b4oTP-gE3ME1QId-ng,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,yJId9Oe_4pzJJpvRoCkiRLiK1NFhX62g2FoGVRrNXsyLQmNqWfqwQi4OjNjcgLY_GzuIiVbZtxFNGg,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,pvJA5MUGK94vry79sgNPpqfTfkOckdC-N6QSUDNOwRXxeXpFoJjaWZ9EijVVHfKzq4UJd5kKi2q2Cw,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,-rz4LhKlzO95u0lR7dZe7SSdJIECdacaek8Gap3tkt1KXMlgA34AE2AoQF0jPXPQvkb3UpJeNnmWUg,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,cVRfF5NUWTCCFd-F162Xu5QFf0PT7qjdm5EYmQf4l9hbPrkPadITppm4KYx14L7MbmpAzEYQG7NtnA,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,ELpYAaR4tvNm8rwl2UcZpPZ1caT4lJ6Tfllefj_Q6dAVVbVarIZ3lpjF7_YYSfzps5I5Wizs0S-DRA,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,PiT0ZIk0sFLWKUNR_Si5CEQzn-U_rn-WXhpHLEB8BQVcotUfQYrlDokO38fS0jDTLHRF51GdfeNMqQ,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,-qxP4HUSalPtvFxEP0_WPyA10dNI9xv8pKsG3d7uKUUrTMWt0j4-sYMhMeuvyN5Dz8QzvAE542mJig,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,III,HySwKZamFnwj1VOXPjfo1_LLv7ZHbNZYiGfRDuf818jGGGQ8vYpM3chtwW5TGy4pjhngl9fuM1kUDg,RANKED_SOLO_5x5,europe,eun1,BRONZE_III
BRONZE,IV,15yCxaoYFDDM_T06H4E6TdqPU-UtSz1PMB9XiyQHBjJRNQ-N6ywAdqmmpv1XB5rgzm-VmF1Tq8eyOQ,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,kI9KW5d4XMIrqXq6gSn1vi1aUJiHtAs8kZhreeOMpo3ozI-Q8O-JfLS2_6xObvkOonwTvcSmYrhaqg,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,jhueTmgx8uAeTmW10gDfWlO2S4Kek49_ldrpx12pzOPvc2dhwva3DGFoleoQJw7J5384t0PtHNnTOQ,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,zOvjCNbWzNKTOBVPOmjyfnR-Dse3PYEYhb4Q_5dn8PqjaQ4mMOr0TnB7TtS7RqF9_oNDwXgBUWH9og,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,XrseFW3HCbBxKhthF4VnlVHvUY5JWG3KtxtIHb8Ufl8wvE_wLl_IHrqfQc0RRawbxQ9ya-GiDwUyTg,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,HaukPMdb0bmKrISm6cIvH4RYUXMs5H7dYEZtus3boQxE8ugjKBMkzLXK0S8WNZguixNqDT778h565g,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
